"2022-06-06 10:54:04,940",768.053,12,10,1,0.8029,0.0348,0.7528,0.1282
"2022-06-06 10:58:02,797",237.832,3,4,1,0.8656,0.0365,0.8068,0.0597
"2022-06-06 11:04:43,822",401.002,1,10,7,0.7874,0.0393,0.7443,0.0406
"2022-06-06 11:13:09,360",505.522,6,9,1,0.8727,0.0300,0.7528,0.0526
"2022-06-06 11:24:03,235",653.852,5,10,7,0.8750,0.0173,0.8707,0.1126
"2022-06-06 11:32:32,030",508.772,10,2,1,0.7785,0.1149,0.7628,0.1143
"2022-06-06 11:43:23,117",651.063,3,12,8,0.8412,0.0316,0.8224,0.0583
"2022-06-06 11:57:28,626",845.483,11,8,8,0.8548,0.0179,0.8537,0.0669
"2022-06-06 12:01:41,748",253.102,4,3,1,0.8433,0.0506,0.8395,0.0542
"2022-06-06 12:12:01,293",619.523,8,9,6,0.8163,0.0525,0.6392,0.1762
"2022-06-06 12:20:47,126",525.813,6,8,8,0.8212,0.0322,0.8466,0.0536
"2022-06-06 12:27:39,802",412.652,3,8,7,0.8010,0.0267,0.8551,0.0866
"2022-06-06 12:32:03,532",263.710,3,5,1,0.8567,0.0315,0.7685,0.0508
"2022-06-06 12:39:55,987",472.444,12,0,9,0.7834,0.3950,0.7543,0.0272
"2022-06-06 12:45:20,777",324.772,1,8,1,0.8163,0.0999,0.6776,0.1130
"2022-06-06 12:52:27,166",426.372,4,8,1,0.7942,0.0460,0.7784,0.0857
"2022-06-06 12:58:17,238",350.052,2,8,1,0.8793,0.0413,0.8011,0.0531
"2022-06-06 13:06:59,237",521.982,6,8,7,0.8367,0.0340,0.8466,0.0268
"2022-06-06 13:16:13,040",553.783,6,9,8,0.8612,0.0216,0.6932,0.2233
"2022-06-06 13:16:49,760",36.700,0,2,1,0.8410,0.0359,0.8153,0.0332
