"2022-06-05 12:02:37,556",406.602,1,1,1,0.8051,0.0721,0.7159,0.0980
"2022-06-05 12:18:37,475",959.892,3,2,1,0.7898,0.0452,0.8153,0.0833
"2022-06-05 12:22:45,595",248.090,0,2,1,0.7827,0.0172,0.8011,0.2778
"2022-06-05 12:47:23,565",1477.942,2,4,1,0.5236,0.1473,0.4929,0.1640
"2022-06-05 12:49:04,776",101.180,1,0,1,0.5412,0.1622,0.5767,0.1349
"2022-06-05 13:47:51,495",3526.704,19,0,9,0.8478,0.0321,0.8608,0.0490
"2022-06-05 14:35:13,516",2842.004,15,0,9,0.8478,0.0881,0.8452,0.0255
"2022-06-05 14:36:41,754",88.220,0,1,1,0.7989,0.0714,0.7997,0.0613
"2022-06-05 15:56:54,834",4813.063,13,14,1,0.8168,0.0545,0.7301,0.0776
"2022-06-05 15:58:21,952",87.100,1,0,1,0.5278,0.1035,0.4858,0.0971
"2022-06-05 17:49:05,952",6643.984,35,0,9,0.8703,0.3258,0.8295,0.0918
"2022-06-05 18:25:38,672",2192.693,4,8,8,0.8389,0.0193,0.7926,0.0501
"2022-06-05 19:04:36,152",2337.464,12,1,1,0.5593,0.1245,0.5540,0.1898
"2022-06-05 19:46:44,281",2528.103,7,7,8,0.8793,0.0240,0.7855,0.1220
"2022-06-05 20:27:00,392",2416.093,6,7,1,0.5323,0.1476,0.5540,0.1009
"2022-06-05 20:46:49,314",1188.903,6,0,1,0.7915,0.0539,0.7472,0.0584
"2022-06-05 21:41:19,068",3269.733,11,6,8,0.8010,0.0156,0.7074,0.3909
"2022-06-05 21:56:20,150",901.061,5,0,1,0.1924,0.2022,0.2543,0.2206
"2022-06-05 22:34:00,477",2260.302,4,7,7,0.8299,0.0298,0.8693,0.0399
"2022-06-05 23:37:09,683",3789.183,9,13,1,0.8858,0.0134,0.7940,0.1297
